Group,Name
Categories,categories-viewAny
Categories,categories-view
Categories,categories-create
Categories,categories-update
Categories,categories-delete
Categories,categories-restore
Categories,categories-forceDelete
Comments,comments-view
Comments,comments-create
Documentations,documentations-viewAny
Documentations,documentations-view
Documentations,documentations-create
Documentations,documentations-update
Documentations,documentations-delete
Documentations,documentations-restore
Documentations,documentations-forceDelete
Cities,cities-viewAny
Cities,cities-view
Cities,cities-create
Cities,cities-update
Cities,cities-delete
Cities,cities-restore
Cities,cities-forceDelete
Countries,countries-viewAny
Countries,countries-view
Countries,countries-create
Countries,countries-update
Countries,countries-delete
Countries,countries-restore
Countries,countries-forceDelete
Regions,regions-viewAny
Regions,regions-view
Regions,regions-create
Regions,regions-update
Regions,regions-delete
Regions,regions-restore
Regions,regions-forceDelete
Sites,sites-viewAny
Sites,sites-view
Sites,sites-create
Sites,sites-update
Sites,sites-delete
Sites,sites-restore
Sites,sites-forceDelete
States,states-viewAny
States,states-view
States,states-create
States,states-update
States,states-delete
States,states-restore
States,states-forceDelete
Networks,networks-viewAny
Networks,networks-view
Networks,networks-create
Networks,networks-update
Networks,networks-delete
Networks,networks-restore
Networks,networks-forceDelete
Networks,networks-attachFiles
Networks,networks-assignScenarios
Networks,networks-changeStatusTasks
Networks,networks-historyTask
Networks,networks-networksSections
Networks,networks-taskSection
Networks,networks-networkTimeline
Networks,networks-viewScenarios
Projects,projects-viewAny
Projects,projects-view
Projects,projects-create
Projects,projects-update
Projects,projects-delete
Projects,projects-restore
Projects,projects-forceDelete
Scenarios,scenarios-viewAny
Scenarios,scenarios-view
Scenarios,scenarios-create
Scenarios,scenarios-update
Scenarios,scenarios-delete
Scenarios,scenarios-restore
Scenarios,scenarios-forceDelete
Tasks,tasks-viewAny
Tasks,tasks-view
Tasks,tasks-create
Tasks,tasks-update
Tasks,tasks-delete
Tasks,tasks-restore
Tasks,tasks-forceDelete
GeographicTypes,geographicType-viewAny
GeographicTypes,geographicType-view
GeographicTypes,geographicType-create
GeographicTypes,geographicType-update
GeographicTypes,geographicType-delete
GeographicTypes,geographicType-restore
GeographicTypes,geographicType-forceDelete
Permissions,permissions-viewAny
Permissions,permissions-view
Permissions,permissions-create
Permissions,permissions-update
Permissions,permissions-delete
Permissions,permissions-restore
Permissions,permissions-forceDelete
Roles,roles-viewAny
Roles,roles-view
Roles,roles-create
Roles,roles-update
Roles,roles-delete
Roles,roles-restore
Roles,roles-forceDelete
Settings,settings-viewAny
Settings,settings-view
Settings,settings-create
Settings,settings-update
Settings,settings-delete
Settings,settings-restore
Settings,settings-forceDelete
SiteTypes,siteTypes-viewAny
SiteTypes,siteTypes-view
SiteTypes,siteTypes-create
SiteTypes,siteTypes-update
SiteTypes,siteTypes-delete
SiteTypes,siteTypes-restore
SiteTypes,siteTypes-forceDelete
Teams,teams-viewAny
Teams,teams-view
Teams,teams-create
Teams,teams-update
Teams,teams-delete
Teams,teams-restore
Teams,teams-forceDelete
Users,users-viewAny
Users,users-view
Users,users-create
Users,users-update
Users,users-delete
Users,users-restore
Users,users-forceDelete
